date,description,amount
2025-11-01,Coffee at Cafe,4.50
2025-11-02,Uber ride to office,12.80
2025-11-03,Monthly rent payment,850
2025-11-04,Netflix subscription,15.99
2025-11-05,Grocery supermarket shopping,42.30
2025-11-06,Bus ticket,2.40
2025-11-07,Cinema movie night,11.50
2025-11-08,Electricity utility bill,60.00
2025-11-09,Coffee and netflix subscription,9.90
2025-11-10,Rent and taxi,20.00
2025-12-01,Restaurant dinner,35.00
2025-12-02,Train ticket,18.50
2025-12-03,Internet utility bill,45.00
